3247 .   [ link ] shows a way of graphing the exchange of a virtual photon between two positive charges .   [EH] This graph of time versus position [EH] is called [ER] a Feynman diagram [ER] , after the brilliant American physicist Richard Feynman ( 1918 – 1988 ) who developed it .   [ link ] is a Feynman diagram for the exchange of a virtual pion between a proton and a neutron representing the same interaction as in [ link ] .   Feynman diagrams are not only a useful tool for visualizing interactions at the quantum mechanical level , they are also used to calculate details of interactions , such as their strengths and probability of occurring .	Direct-Defines
3247 .   [ link ] shows a way of graphing the exchange of a virtual photon between two positive charges .   [ER] This graph of time versus position [ER] is called a Feynman diagram , [EH] after the brilliant American physicist Richard Feynman ( 1918 – 1988 ) who developed it [EH] .   [ link ] is a Feynman diagram for the exchange of a virtual pion between a proton and a neutron representing the same interaction as in [ link ] .   Feynman diagrams are not only a useful tool for visualizing interactions at the quantum mechanical level , they are also used to calculate details of interactions , such as their strengths and probability of occurring .	fragment
3247 .   [ link ] shows a way of graphing the exchange of a virtual photon between two positive charges .   [ER] This graph of time versus position [ER] is called a Feynman diagram , after the brilliant American physicist Richard Feynman ( 1918 – 1988 ) who developed it .   [ link ] is a Feynman diagram for the exchange of a virtual pion between a proton and a neutron representing the same interaction as in [ link ] .   [EH] Feynman diagrams are not only a useful tool for visualizing interactions at the quantum mechanical level , they are also used to calculate details of interactions , such as their strengths and probability of occurring [EH] .	Supplements
3250 .   Special names are given to particles that feel the strong and weak nuclear forces .   [ER] Hadrons [ER] are [EH] particles that feel the strong nuclear force [EH] , whereas leptons are particles that do not .   The proton , neutron , and the pions are examples of hadrons .	Direct-Defines
3253 .   [ER] Mesons [ER] are [EH] hadrons that can decay to leptons and leave no hadrons , which implies that mesons are not conserved in number [EH] .   Baryons are hadrons that always decay to another baryon .   A new physical quantity called baryon number B B size 12 { B } { } seems to always be conserved in nature and is listed for the various particles in the table given above .	Direct-Defines
3253 .   Mesons are hadrons that can decay to leptons and leave no hadrons , which implies that mesons are not conserved in number .   [ER] Baryons [ER] are [EH] hadrons that always decay to another baryon [EH] .   A new physical quantity called baryon number B B size 12 { B } { } seems to always be conserved in nature and is listed for the various particles in the table given above .	Direct-Defines
3256 .   Keep in mind that all leptons seem to be fundamental , whereasno hadrons are fundamental .   There is strong evidence that [ER] quarks [ER] are [EH] the fundamental building blocks of hadrons [EH] as seen in [ link ] .   Quarks are the second group of fundamental particles ( leptons are the first ) .	Direct-Defines
3262 .   When a combination of quarks has color other than white , it exerts extremely large forces — even larger than the strong force — and perhaps can not be stable or permanently separated .   This is part of the theory of [ER] quark confinement [ER] , which explains [EH] how quarks can exist and yet never be isolated or directly observed [EH] .   Finally , an extra quantum number with three values ( like those we assign to color ) is necessary for quarks to obey the Pauli exclusion principle .	Direct-Defines
3265 .   Frontiers of Physics expands the story in making a connection with cosmology , on the opposite end of the distance scale .   [ link ] is a Feynman diagram showing how the weak nuclear force is transmitted by the carrier particle Z0 Z0 size 12 { Z rSup { size 8 { 0 } } } { } , similar to the diagrams in [ link ] and [ link ] for the electromagnetic and strong nuclear forces .   In the 1960s , a gauge theory , called [ER] electroweak theory [ER] , was [EH] developed by Steven Weinberg , Sheldon Glashow , and Abdus Salam and proposed that the electromagnetic and weak forces are identical at sufficiently high energies [EH] .   One of its predictions , in addition to describing both electromagnetic and weak force phenomena , was the existence of the W+ , W− W+ , W− , and Z0 Z0 carrier particles .	Direct-Defines
3265 .   Frontiers of Physics expands the story in making a connection with cosmology , on the opposite end of the distance scale .   [ link ] is a Feynman diagram showing how the weak nuclear force is transmitted by the carrier particle Z0 Z0 size 12 { Z rSup { size 8 { 0 } } } { } , similar to the diagrams in [ link ] and [ link ] for the electromagnetic and strong nuclear forces .   In the 1960s , a gauge theory , called electroweak theory , was [ER] developed by Steven Weinberg , Sheldon Glashow , and Abdus Salam and proposed that the electromagnetic and weak forces are identical at sufficiently high energies [ER] .   [EH] One of its predictions , in addition to describing both electromagnetic and weak force phenomena , was the existence of the W+ , W− W+ , W− , and Z0 Z0 carrier particles [EH] .	Supplements
3271 .   Perhaps the most important characteristic of the universe is that all galaxies except those in our local cluster seem to be moving away from us at speeds proportional to their distance from our galaxy .   It looks as if [EH] a gigantic explosion [EH] , universally called [ER] the Big Bang [ER] , threw matter out some billions of years ago .   This amazing conclusion is based on the pioneering work of Edwin Hubble ( 1889–1953 ) , the American astronomer .	Direct-Defines
3271 .   Perhaps the most important characteristic of the universe is that all galaxies except those in our local cluster seem to be moving away from us at speeds proportional to their distance from our galaxy .   It looks as if [ER] a gigantic explosion [ER] , universally called the Big Bang , [EH] threw matter out some billions of years ago [EH] .   This amazing conclusion is based on the pioneering work of Edwin Hubble ( 1889–1953 ) , the American astronomer .	fragment
